n,time_sec,rate_MB_s,source
1,6.032e-05,0.031621,comm.job.opack1
2,6.1035e-05,0.0625,comm.job.opack1
4,5.6982e-05,0.133891,comm.job.opack1
8,6.8188e-05,0.223776,comm.job.opack1
16,4.7684e-05,0.64,comm.job.opack1
32,5.1022e-05,1.196262,comm.job.opack1
64,4.9591e-05,2.461538,comm.job.opack1
128,5.8413e-05,4.179592,comm.job.opack1
256,5.8413e-05,8.359184,comm.job.opack1
512,5.9366e-05,16.449799,comm.job.opack1
1024,7.1287e-05,27.397993,comm.job.opack1
2048,7.3195e-05,53.368078,comm.job.opack1
4096,7.8678e-05,99.29697,comm.job.opack1
8192,9.799e-05,159.454988,comm.job.opack1
16384,0.000108004,289.342163,comm.job.opack1
32768,0.000138283,451.972414,comm.job.opack1
65536,0.000309706,403.60893,comm.job.opack1
131072,0.000608444,410.884013,comm.job.opack1
262144,0.000958681,521.549863,comm.job.opack1
524288,0.001475811,677.593538,comm.job.opack1
1048576,0.002095222,954.552572,comm.job.opack1
